Material,Manufacturing Location,Hazardous Material + (% Composition),Appearance & Odour,Routes of Exposure,Health Hazards,Autoignition Temperature (C),Handling & Storing Options,Exposure Control Measures,Units,Hazard Rating,Hyper Link, 
lead,United States: Willits; CA,Lead(II) carbonate basic (70-90%),Odorless; white,decreased physical stamina; fatigue; sleep disturbance; headaches; aching bones and muscles; constipation; abdominal pains and decreased appetite. Inhalation of large amounts may lead to seizures; coma or possibly death.,Skin Contact; Eye Contact; Ingestion,None,Store in a cool; dry; well-ventilated area; Avoid contact with oxidizers and chemically active metals; Wear all specified elements of PPE,Mask; gloves; goggles,/L,5,https://www.naturalpigments.com/msds-820-802,
Gouache,Australia: East Brunswick; VIC,None,Odorless; colour varies,Poisoning; skin irritation;,Inhalation; Skin Contact; Eye Contact; Ingestion,None,Avoid eye contact and repeated or prolonged skin contact.Avoid inhalation ofdust.Storage: Store in a cool; dry; well-ventilated place and out of direct sunlight,safety shoes; overalls; gloves,/L,5,https://www.schoolartsupplies.com.au/assets/files/Artists-Gouache-GHS-SDS.pdf,
Emulsion,England: Whaley Bridge; Derbyshire,None,Bland; colour varies,Poisoning; skin irritation;,Inhalation; Skin Contact; Eye Contact; Ingestion,None,Avoid eye contact and repeated or prolonged skin contact.Avoid inhalation ofdust.Storage: Store in a cool; dry; well-ventilated place and out of direct sunlight,safety shoes; overalls; gloves,/L,5,https://www.paintmaster.co.uk/pdf/MSDS%20Waterbased%20Emulsion.pdf,
Gloss,United Kingdom: Ashby De La Zouch; Leicestershire,Acetone (30-60%); Butane (5-10%); xylene (5-10%); Toluene (1-5%); n-Butyl acetate (1-5%); Ethylbenzene (1-5%); Hydrocarbons; C11-C14; n-alkanes; isoalkanes; cyclics; <2%aromatics (1-5%),Organic solvents; Red,Difficulty breathing; poisoning,Inhalation; Skin Contact; Eye Contact; Ingestion,None,Wear protective clothing; Store away from incompatible materials ,Mask; gloves; goggles,/L,5,https://docs-emea.rs-online.com/webdocs/00cb/0900766b800cb6a1.pdf,
Matte,United States: Cleveland; OH,Acetone (25-50%); Propane (10-25%); Butane (10-25%); Tolene (10-25%); Isobutyl Acetate (10%); Ethyl 3-Ethoxypropionate (3%); Trimethylpentanediol Diisobutyrate (3%); Carbon Black (1%); Xylene (0.3%),Odorless; colour varies,Skin irritation; central nervous system depreesion; eye pain/irritation; respiratory tract irritation; poisoning; nausea,Inhalation; Skin Contact; Eye Contact; Ingestion,none,Store away from direct sunlight in a dry; cool and well-ventilated area; away from incompatible materials,adequate ventilation; goggles; gloves; overalls; boots,/L,5,https://www.krylon.com/document/SDS/en/US/724504050834,
White wash,New Zealand: Wellington; Naenae,None,Odorless,eye irritation; poisoning,Inhalation; Skin Contact; Eye Contact; Ingestion,none,Avoid personal contact,gloves; goggles; overalls; mask,/L,4,https://www.resene.co.nz/archspec/msds/Colorwood-Whitewash.pdf,
Encaustic,United States: Kingston; New York,None,Wax-like odor; colour varies,Difficulty breathing; poisoning; skin irritation;,Inhalation; Skin Contact; Eye Contact; Ingestion,none,use in well-ventilated area; wear protective equipment; keep away from incompatibles,gloves; goggles; mask,/L,4,https://static1.squarespace.com/static/5594060be4b03822e68a2635/t/5ce7d350085229333978d422/1558696794335/R%26F+ENCAUSTIC+PAINTS+SDS+-+UPDATED_NOVEMBER_14_2017+FINAL.pdf,
oil,United States: Cleveland; OH,Mineral Spirits (30%); Mineral Spirits 140-Flash (5%); Ethylbenzene (0.2%); Quartz (32%),Odorless; colour varies,eye irritation; skin irritation; nervous system depression; unconciousness,Inhalation; Skin Contact; Eye Contact; Ingestion,none,Keep away from heat and open flame; Keep container closed when not in use,gloves; goggles; respirator,/L,4,https://lakeland.edu/PDFs/MSDS/17/ALL%20SURFACE%20ENAMEL%20Oil%20Base%20Satin%20Ultradeep%20Base.pdf,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0
